Category,Diploma/Certificates,Associate,Bachelor's,CIP 2020 Categories to Include
Agriculture,,,,1
Natural resources and conservation,,,,3
Architecture,,,,4
"Area, ethnic, and gender studies",,,2.07,5
Communication/journalism,,,,9
Communication technologies,,,,10
Computer and information sciences,8.33,,1.68,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,2.35,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,3.53,23
Liberal arts/general studies,,,1.01,24
Library science,,,,25
Biological/life sciences,,,6.94,26
Mathematics and statistics,,,2.29,27
Military science and military technologies,,,,28 and 29
Interdisciplinary studies,,,7.72,30
Parks and recreation,,,,31
Philosophy and religious studies,,,0.95,38
Theology and religious vocations,,,,39
Physical sciences,,,0.90,40
Science technologies,,,,41
Psychology,,,5.09,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,38.44,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,0.56,50
Health professions and related programs,91.67,,4.42,51
Business/marketing,,,20.09,52
History,,,1.96,54
Other,,,,
